==================================================================
  EXPERIMENT CONFIGURATIONS  (12 experiments)
==================================================================
  Shared parameters:
    time_limit_s=60               NoRelHeurTime=0
    MIPGap=0.0                    

  Per-experiment parameters:
  Label             Solver                    weight_makespan  weight_delay  weight_movements  alpha  weight_topology  n_starts  seed
  -----------------------------------------------------------------------------------------------------------------------------------
  milp_baseline     MILPAircraftSolver        0.1              1             10                —      —                —         —   
  topology_ms6      TopologyHeuristic         0.1              1             10                0.3    1                6         1   
  fas_on_topo       FixedAssignmentScheduler  0.1              1             10                —      —                —         —   
  safe_pipeline     FixedAssignmentScheduler  0.1              1             10                —      —                —         —   
  milp_baseline_wB  MILPAircraftSolver        1                10            0.1               —      —                —         —   
  topology_ms6_wB   TopologyHeuristic         1                10            0.1               0.3    1                6         1   
  fas_on_topo_wB    FixedAssignmentScheduler  1                10            0.1               —      —                —         —   
  safe_pipeline_wB  FixedAssignmentScheduler  1                10            0.1               —      —                —         —   
  milp_baseline_wC  MILPAircraftSolver        10               0.1           1                 —      —                —         —   
  topology_ms6_wC   TopologyHeuristic         10               0.1           1                 0.3    1                6         1   
  fas_on_topo_wC    FixedAssignmentScheduler  10               0.1           1                 —      —                —         —   
  safe_pipeline_wC  FixedAssignmentScheduler  10               0.1           1                 —      —                —         —   
==================================================================



==================================================================
  SUMMARY  —  144 ok  /  0 failed  /  144 total
  scn_triangle_loose_P5_R10_seed10   topology_ms6_wC   topology (      616.20      61.50      12.00     0         -      60.0
  scn_triangle_loose_P5_R10_seed10   fas_on_topo_wC    optimal         616.20      61.50      12.00     0     0.00%       0.0
  scn_triangle_loose_P5_R10_seed10   safe_pipeline_wC  topology (      616.20      61.50      12.00     0         -       0.0
  scn_triangle_medium_P5_R10_seed10  milp_baseline     maxTimeLim       56.85      63.50      50.50     0    64.03%      60.2
  scn_triangle_medium_P5_R10_seed10  topology_ms6      topology (       57.55      70.50      50.50     0         -      60.0
  scn_triangle_medium_P5_R10_seed10  fas_on_topo       optimal          57.55      70.50      50.50     0     0.00%       0.0
  scn_triangle_medium_P5_R10_seed10  safe_pipeline     topology (       57.55      70.50      50.50     0         -       0.0
  scn_triangle_medium_P5_R10_seed10  milp_baseline_wB  maxTimeLim      567.50      62.50      50.50     0    71.72%      60.2
  scn_triangle_medium_P5_R10_seed10  topology_ms6_wB   topology (      574.10      67.50      50.50    16         -      60.0
  scn_triangle_medium_P5_R10_seed10  fas_on_topo_wB    optimal         574.10      67.50      50.50    16     0.00%       0.0
  scn_triangle_medium_P5_R10_seed10  safe_pipeline_wB  topology (      574.10      67.50      50.50    16         -       0.0
  scn_triangle_medium_P5_R10_seed10  milp_baseline_wC  optimal         620.15      61.50      51.50     0     0.00%       4.6
  scn_triangle_medium_P5_R10_seed10  topology_ms6_wC   topology (      620.15      61.50      51.50     0         -      60.0
  scn_triangle_medium_P5_R10_seed10  fas_on_topo_wC    optimal         620.15      61.50      51.50     0     0.00%       0.0
  scn_triangle_medium_P5_R10_seed10  safe_pipeline_wC  topology (      620.15      61.50      51.50     0         -       0.0
  scn_triangle_tight_P5_R10_seed10   milp_baseline     maxTimeLim      103.55      70.50      96.50     0    78.32%      60.2
  scn_triangle_tight_P5_R10_seed10   topology_ms6      topology (      101.65      61.50      95.50     0         -      60.0
  scn_triangle_tight_P5_R10_seed10   fas_on_topo       optimal         101.65      61.50      95.50     0     0.00%       0.0
  scn_triangle_tight_P5_R10_seed10   safe_pipeline     topology (      101.65      61.50      95.50     0         -       0.0
  scn_triangle_tight_P5_R10_seed10   milp_baseline_wB  maxTimeLim     1016.50      61.50      95.50     0    90.75%      60.2
  scn_triangle_tight_P5_R10_seed10   topology_ms6_wB   topology (     1016.50      61.50      95.50     0         -      60.0
  scn_triangle_tight_P5_R10_seed10   fas_on_topo_wB    optimal        1016.50      61.50      95.50     0     0.00%       0.0
  scn_triangle_tight_P5_R10_seed10   safe_pipeline_wB  topology (     1016.50      61.50      95.50     0         -       0.0
  scn_triangle_tight_P5_R10_seed10   milp_baseline_wC  optimal         624.55      61.50      95.50     0     0.00%       4.9
  scn_triangle_tight_P5_R10_seed10   topology_ms6_wC   topology (      624.55      61.50      95.50     0         -      60.0
  scn_triangle_tight_P5_R10_seed10   fas_on_topo_wC    optimal         624.55      61.50      95.50     0     0.00%       0.0
  scn_triangle_tight_P5_R10_seed10   safe_pipeline_wC  topology (      624.55      61.50      95.50     0         -       0.0
  scn_triangle_tight_P5_R20_seed10   milp_baseline     maxTimeLim      848.20     147.00     813.50     2    99.36%      60.7
  scn_triangle_tight_P5_R20_seed10   topology_ms6      topology (      706.90     134.00     693.50     0         -      60.0
  scn_triangle_tight_P5_R20_seed10   fas_on_topo       optimal         701.90     134.00     688.50     0     0.00%      23.3
  scn_triangle_tight_P5_R20_seed10   safe_pipeline     optimal         701.90     134.00     688.50     0         -       0.0
  scn_triangle_tight_P5_R20_seed10   milp_baseline_wB  maxTimeLim     7324.80     137.00     718.50    28    99.26%      60.7
  scn_triangle_tight_P5_R20_seed10   topology_ms6_wB   topology (     6463.30     129.50     633.00    38         -      60.0
  scn_triangle_tight_P5_R20_seed10   fas_on_topo_wB    optimal        6453.30     129.50     632.00    38     0.00%       3.8
  scn_triangle_tight_P5_R20_seed10   safe_pipeline_wB  optimal        6453.30     129.50     632.00    38         -       0.0
  scn_triangle_tight_P5_R20_seed10   milp_baseline_wC  maxTimeLim     1323.60     121.50     706.00    38    59.20%      60.7
  scn_triangle_tight_P5_R20_seed10   topology_ms6_wC   topology (     1281.30     118.50     643.00    32         -      60.0
  scn_triangle_tight_P5_R20_seed10   fas_on_topo_wC    optimal        1273.90     118.50     629.00    26     0.00%       2.6
  scn_triangle_tight_P5_R20_seed10   safe_pipeline_wC  optimal        1273.90     118.50     629.00    26         -       0.0
  scn_triangle_tight_P5_R30_seed10   milp_baseline     maxTimeLim     2731.25     267.50    2524.50    18    99.71%      61.5
  scn_triangle_tight_P5_R30_seed10   topology_ms6      topology (     1984.45     224.50    1962.00     0         -      60.0
  scn_triangle_tight_P5_R30_seed10   fas_on_topo       maxTimeLim     2016.45     224.50    1994.00     0    23.18%      60.1
  scn_triangle_tight_P5_R30_seed10   safe_pipeline     topology (     1984.45     224.50    1962.00     0         -       0.0
  scn_triangle_tight_P5_R30_seed10   milp_baseline_wB  maxTimeLim    22744.50     254.50    2248.50    50    99.66%      61.6
  scn_triangle_tight_P5_R30_seed10   topology_ms6_wB   topology (    18555.30     214.50    1833.50    58         -      60.0
  scn_triangle_tight_P5_R30_seed10   fas_on_topo_wB    maxTimeLim    18415.30     214.50    1819.50    58    22.85%      60.2
  scn_triangle_tight_P5_R30_seed10   safe_pipeline_wB  maxTimeLim    18415.30     214.50    1819.50    58         -       0.0
  scn_triangle_tight_P5_R30_seed10   milp_baseline_wC  maxTimeLim     3229.75     287.00    3517.50     8    75.85%      61.5
  scn_triangle_tight_P5_R30_seed10   topology_ms6_wC   topology (     2264.55     202.50    1915.50    48         -      60.0
  scn_triangle_tight_P5_R30_seed10   fas_on_topo_wC    maxTimeLim     2268.15     202.50    1951.50    48     4.79%      60.2
  scn_triangle_tight_P5_R30_seed10   safe_pipeline_wC  topology (     2264.55     202.50    1915.50    48         -       0.0
  scn_triangle_tight_P5_R5_seed10    milp_baseline     optimal           3.50      35.00       0.00     0     0.00%       0.1
  scn_triangle_tight_P5_R5_seed10    topology_ms6      topology (        3.50      35.00       0.00     0         -      60.0
  scn_triangle_tight_P5_R5_seed10    fas_on_topo       optimal           3.50      35.00       0.00     0     0.00%       0.0
  scn_triangle_tight_P5_R5_seed10    safe_pipeline     topology (        3.50      35.00       0.00     0         -       0.0
  scn_triangle_tight_P5_R5_seed10    milp_baseline_wB  optimal          35.00      35.00       0.00     0     0.00%       0.1
  scn_triangle_tight_P5_R5_seed10    topology_ms6_wB   topology (       35.20      35.00       0.00     2         -      60.0
  scn_triangle_tight_P5_R5_seed10    fas_on_topo_wB    optimal          35.00      35.00       0.00     0     0.00%       0.0
  scn_triangle_tight_P5_R5_seed10    safe_pipeline_wB  optimal          35.00      35.00       0.00     0         -       0.0
  scn_triangle_tight_P5_R5_seed10    milp_baseline_wC  optimal         350.00      35.00       0.00     0     0.00%       0.1
  scn_triangle_tight_P5_R5_seed10    topology_ms6_wC   topology (      352.00      35.00       0.00     2         -      60.0
  scn_triangle_tight_P5_R5_seed10    fas_on_topo_wC    optimal         350.00      35.00       0.00     0     0.00%       0.0
  scn_triangle_tight_P5_R5_seed10    safe_pipeline_wC  optimal         350.00      35.00       0.00     0         -       0.0
  scn_two_rows_tight_P5_R10_seed10   milp_baseline     maxTimeLim      105.25      67.50      98.50     0    73.16%      60.2
  scn_two_rows_tight_P5_R10_seed10   topology_ms6      topology (      105.55      70.50      98.50     0         -      60.0
  scn_two_rows_tight_P5_R10_seed10   fas_on_topo       optimal         105.55      70.50      98.50     0     0.00%       0.0
  scn_two_rows_tight_P5_R10_seed10   safe_pipeline     topology (      105.55      70.50      98.50     0         -       0.0
  scn_two_rows_tight_P5_R10_seed10   milp_baseline_wB  maxTimeLim     1016.90      61.50      95.50     4    77.33%      60.2
  scn_two_rows_tight_P5_R10_seed10   topology_ms6_wB   topology (     1016.90      61.50      95.50     4         -      60.0
  scn_two_rows_tight_P5_R10_seed10   fas_on_topo_wB    optimal        1016.90      61.50      95.50     4     0.00%       0.0
  scn_two_rows_tight_P5_R10_seed10   safe_pipeline_wB  topology (     1016.90      61.50      95.50     4         -       0.0
  scn_two_rows_tight_P5_R10_seed10   milp_baseline_wC  optimal         625.15      61.50     101.50     0     0.00%       2.9
  scn_two_rows_tight_P5_R10_seed10   topology_ms6_wC   topology (      628.55      61.50      95.50     4         -      60.0
  scn_two_rows_tight_P5_R10_seed10   fas_on_topo_wC    optimal         627.95      61.50     109.50     2     0.00%       0.0
  scn_two_rows_tight_P5_R10_seed10   safe_pipeline_wC  optimal         627.95      61.50     109.50     2         -       0.0
==================================================================
