==================================================================
  EXPERIMENT CONFIGURATIONS  (12 experiments)
==================================================================
  Shared parameters:
    time_limit_s=60               NoRelHeurTime=0
    MIPGap=0.0                    

  Per-experiment parameters:
  Label             Solver                    weight_makespan  weight_delay  weight_movements  alpha  weight_topology  n_starts  seed
  -----------------------------------------------------------------------------------------------------------------------------------
  milp_baseline     MILPSolver                0.1              1             10                —      —                —         —   
  topology_ms6      TopologyHeuristic         0.1              1             10                0.3    1                6         1   
  fas_on_topo       FixedAssignmentScheduler  0.1              1             10                —      —                —         —   
  safe_pipeline     FixedAssignmentScheduler  0.1              1             10                —      —                —         —   
  milp_baseline_wB  MILPSolver                1                10            0.1               —      —                —         —   
  topology_ms6_wB   TopologyHeuristic         1                10            0.1               0.3    1                6         1   
  fas_on_topo_wB    FixedAssignmentScheduler  1                10            0.1               —      —                —         —   
  safe_pipeline_wB  FixedAssignmentScheduler  1                10            0.1               —      —                —         —   
  milp_baseline_wC  MILPSolver                10               0.1           1                 —      —                —         —   
  topology_ms6_wC   TopologyHeuristic         10               0.1           1                 0.3    1                6         1   
  fas_on_topo_wC    FixedAssignmentScheduler  10               0.1           1                 —      —                —         —   
  safe_pipeline_wC  FixedAssignmentScheduler  10               0.1           1                 —      —                —         —   
==================================================================



==================================================================
  SUMMARY  —  135 ok  /  9 failed  /  144 total
  scn_triangle_tight_P5_R30_seed2   fas_on_topo       maxTimeLim     1910.20     227.00    1887.50     0    20.21%      60.4
  scn_triangle_tight_P5_R30_seed2   safe_pipeline     maxTimeLim     1910.20     227.00    1887.50     0         -       0.0
  scn_triangle_tight_P5_R30_seed2   topology_ms6_wB   topology (    17963.40     207.00    1775.00    64         -    3920.0
  scn_triangle_tight_P5_R30_seed2   fas_on_topo_wB    maxTimeLim    18908.60     207.00    1869.50    66    26.05%      60.4
  scn_triangle_tight_P5_R30_seed2   safe_pipeline_wB  topology (    17963.40     207.00    1775.00    64         -       0.0
  scn_triangle_tight_P5_R30_seed2   topology_ms6_wC   topology (     2237.65     200.50    1926.50    40         -      60.0
  scn_triangle_tight_P5_R30_seed2   fas_on_topo_wC    maxTimeLim     2227.20     200.50    1802.00    42    19.11%      60.5
  scn_triangle_tight_P5_R30_seed2   safe_pipeline_wC  maxTimeLim     2227.20     200.50    1802.00    42         -       0.0
  scn_triangle_tight_P5_R5_seed2    milp_baseline     optimal           3.70      37.00       0.00     0     0.00%       1.2
  scn_triangle_tight_P5_R5_seed2    topology_ms6      topology (        3.70      37.00       0.00     0         -      60.0
  scn_triangle_tight_P5_R5_seed2    fas_on_topo       optimal           3.70      37.00       0.00     0     0.00%       0.0
  scn_triangle_tight_P5_R5_seed2    safe_pipeline     topology (        3.70      37.00       0.00     0         -       0.0
  scn_triangle_tight_P5_R5_seed2    milp_baseline_wB  optimal          37.00      37.00       0.00     0     0.00%       1.0
  scn_triangle_tight_P5_R5_seed2    topology_ms6_wB   topology (       37.00      37.00       0.00     0         -      60.0
  scn_triangle_tight_P5_R5_seed2    fas_on_topo_wB    optimal          37.00      37.00       0.00     0     0.00%       0.0
  scn_triangle_tight_P5_R5_seed2    safe_pipeline_wB  topology (       37.00      37.00       0.00     0         -       0.0
  scn_triangle_tight_P5_R5_seed2    milp_baseline_wC  optimal         370.00      37.00       0.00     0     0.00%       0.8
  scn_triangle_tight_P5_R5_seed2    topology_ms6_wC   topology (      370.00      37.00       0.00     0         -      60.0
  scn_triangle_tight_P5_R5_seed2    fas_on_topo_wC    optimal         370.00      37.00       0.00     0     0.00%       0.0
  scn_triangle_tight_P5_R5_seed2    safe_pipeline_wC  topology (      370.00      37.00       0.00     0         -       0.0
  scn_two_rows_tight_P5_R10_seed2   milp_baseline     maxTimeLim      163.10      86.00     154.50     0    97.12%      69.2
  scn_two_rows_tight_P5_R10_seed2   topology_ms6      topology (      124.55      70.50     117.50     0         -      60.0
  scn_two_rows_tight_P5_R10_seed2   fas_on_topo       optimal         124.55      70.50     117.50     0     0.00%       0.1
  scn_two_rows_tight_P5_R10_seed2   safe_pipeline     topology (      124.55      70.50     117.50     0         -       0.0
  scn_two_rows_tight_P5_R10_seed2   milp_baseline_wB  maxTimeLim     1229.70      73.50     115.50    12    96.18%      83.2
  scn_two_rows_tight_P5_R10_seed2   topology_ms6_wB   topology (     1153.30      67.50     108.50     8         -      60.0
  scn_two_rows_tight_P5_R10_seed2   fas_on_topo_wB    optimal        1153.30      67.50     108.50     8     0.00%       0.1
  scn_two_rows_tight_P5_R10_seed2   safe_pipeline_wB  topology (     1153.30      67.50     108.50     8         -       0.0
  scn_two_rows_tight_P5_R10_seed2   milp_baseline_wC  maxTimeLim      696.85      67.50     118.50    10    32.55%      74.6
  scn_two_rows_tight_P5_R10_seed2   topology_ms6_wC   topology (      693.85      67.50     108.50     8         -      60.0
  scn_two_rows_tight_P5_R10_seed2   fas_on_topo_wC    optimal         693.85      67.50     108.50     8     0.00%       0.0
  scn_two_rows_tight_P5_R10_seed2   safe_pipeline_wC  topology (      693.85      67.50     108.50     8         -       0.0

  Failed runs:
    x scn_full_tight_P5_R20_seed2  ·  milp_baseline  ->  Cannot load a SolverResults object with bad status: aborted
    x scn_full_tight_P5_R20_seed2  ·  milp_baseline_wB  ->  Cannot load a SolverResults object with bad status: aborted
    x scn_full_tight_P5_R20_seed2  ·  milp_baseline_wC  ->  Cannot load a SolverResults object with bad status: aborted
    x scn_triangle_tight_P5_R20_seed2  ·  milp_baseline  ->  Cannot load a SolverResults object with bad status: aborted
    x scn_triangle_tight_P5_R20_seed2  ·  milp_baseline_wB  ->  Cannot load a SolverResults object with bad status: aborted
    x scn_triangle_tight_P5_R20_seed2  ·  milp_baseline_wC  ->  Cannot load a SolverResults object with bad status: aborted
    x scn_triangle_tight_P5_R30_seed2  ·  milp_baseline  ->  Cannot load a SolverResults object with bad status: aborted
    x scn_triangle_tight_P5_R30_seed2  ·  milp_baseline_wB  ->  Cannot load a SolverResults object with bad status: aborted
    x scn_triangle_tight_P5_R30_seed2  ·  milp_baseline_wC  ->  Cannot load a SolverResults object with bad status: aborted
==================================================================
